module traffic_light (
    input rst_n,
    input clk,
    input pass_request,
    output [7:0] clock,
    output red,
    output yellow,
    output green
);
    reg [7:0] code;
    reg [7:0] code_reg;
    reg [7:0] code_reg_next;
    reg [7:0] code_reg_next_;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_reg_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
    reg [7:0] code_next__;
