module TopModule (
	input clk,
	input reset,
	input ena,
	output pm,
	output [7:0] hh,
	output [7:0] mm,
	output [7:0] ss
);
    reg [13:0] h;
    reg [12:0] h2;
    reg [12:0] h3;
    reg [12:0] h4;
    reg [12:0] h5;
    reg [12:0] h6;
    reg [12:0] h7;
    reg [12:0] h8;
    reg [12:0] h9;
    reg [12:0] h10;
    reg [12:0] h11;
    reg [12:0] h12;
    reg [12:0] h13;
    reg [12:0] h14;
    reg [12:0] h15;
    reg [12:0] h16;
    reg [12:0] h17;
    reg [12:0] h18;
    reg [12:0] h19;
    reg [12:0] h20;
    reg [12:0] h21;
    reg [12:0] h22;
    reg [12:0] h23;
    reg [12:0] h24;
    reg [12:0] h25;
    reg [12:0] h26;
    reg [12:0] h27;
    reg [12:0] h28;
    reg [12:0] h29;
    reg [12:0] h30;
    reg [12:0] h31;
    reg [12:0] h32;
    reg [12:0] h33;
    reg [12:0] h34;
    reg [12:0] h34;
    reg [12:0] h34;
    reg [12:0] h35;
    reg [12:0] h36;
    reg [12:0] h36;
    reg [12:0] h35;
    reg [12:0] h35;
    reg [12:0] h36;
    reg [12:0] h37;
    reg [12:0] h37;
    reg [12:0] h38;
    reg [12:0] h39;
    reg [12:0] h39;
    reg [12:0] h38;
    reg [12:0] h39;
    reg [12:0] h39;
    reg [12:0] h39;
    reg [12:0] h39;
    reg [12:0] h40;
    reg [12:0] h40;
    reg [12:0] h41;
    reg [12:0] h41;
    reg [12:0] h40;
    reg [12:0] h41;
    reg [12:0] h41;
    reg [12:0] h42;
    reg [12:0] h42;
    reg [12:0] h41;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h42;
    reg [12:0] h43;
    reg [12:0] h42;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h42;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h42;
    reg [12:0] h43;
    reg [12:0] h43;
    reg [12:0] h42;
    reg [12:0] h43;
    always @(posedge clk) begin
        h <= h;
        h2 <= h1;
        h3 <= h2;
        h4 <= h3;
        h5 <= h4;
        h6 <= h5;
        h7 <= h6;
        h4 <= h7;
        h5 <= h6;
        h6 <= h7;
        h7 <= h6;
        h4 <= h5;
        h5 <= h6;
        h6 <= h7;
        h5 <= h6;
        h4 <= h5;
        h7 <= h6;
        h5 <= h5;
        h6 <= h5;
        h4 <= h5;
        h6 <= h5;
        h5 <= h6;
        h6 <= h5;
        h7 <= h6;
        h5 <= h6;
        h6 <= h5;
        h7 <= h6;
        h6 <= h5;
        h5 <= h6;
        h7 <= h5;
        h5 <= h6;
        h6 <= h5;
        h7 <= h6;
        h5 <= h6;
        h6 <= h5;
        h4 <= h5;
        h6 <= h5;
        h6 <= h6;
        h7 <= h6;
        h4 <= h5;
        h5 <= h5;
        h6 <= h5;
        h7 <= h6;
        h5 <= h6;
        h6 <= h5;
        h5 <= h6;
        h5 <= h6;
        h6 <= h5;
        h5 <= h6;
        h6 <= h5;
        h5 <= h5;
        h5 <= h6;
        h5 <= h6;
        h6 <= h6;
        h6 <= h5;
        h5 <= h5;
        h6 <= h5;
    end
    always @(posedge clk) begin
        if (reset) begin
            h <= 12'h11;
            h2 <= 12'h14;
            h3 <= 12'h16;
            h4 <= 12'h17;
            h3 <= 12'h18;
            h4 <= 12'h19;
            h2 <= 12'h10;
            h3 <= 12'h21;
            h4 <= 12'h22;
            h3 <= 12'h24;
            h4 <= 12'h25;
            h5 <= 12'h26;
            h3 <= 12'h27;
            h4 <= 12'h28;
            h3 <= 12'h29;
            h4 <= 12'h27;
            h5 <= 12'h28;
            h4 <= 12'h30;
            h5 <= 12'h34;
            h3 <= 12'h35;
            h4 <= 12'h40;
            h5 <= 12'h36;
            h5 <= 12'h37;
            h6 <= 12'h37;
            h5 <= 12'h38;
            h5 <= 12'h5;
            h6 <= 12'h36;
            h5 <= 12'h37;
        end
        else begin
            h <= h;
            h2 <= h2;
            h3 <= h3;
            h4 <= h4;
            h5 <= h5;
            h6 <= h6;
            h3 <= h3;
            h4 <= h4;
            h3 <= h5;
            h4 <= h5;
            h5 <= h4;
            h3 <= h5;
            h4 <= h5;
            h3 <= h6;
            h4 <= h5;
            h3 <= h6;
        end
    end
    assign pm = h4;
    assign hh = h4;
    assign mm = h4;
    assign ss = h5;
endmodule
