module TopModule (
    input [15:0] scancode,
    output left,
    output down,
    output right,
    output up
);
    wire [15:0] scancode_out;
    wire [15:0] scancode_out_left;
    wire [15:0] scancode_out_down;
    wire [15:0] scancode_out_right;
    wire [15:0] scancode_out_up;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_left_shift;
    wire [15:0] scancode_out_right_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    wire [15:0] scancode_out_down_shift;
    wire [15:0] scancode_out_up_shift;
    
